timestamp,open,high,low,close,volume
1,1.1000,1.1010,1.0995,1.1005,100
2,1.1005,1.1012,1.1001,1.1009,110
3,1.1009,1.1018,1.1007,1.1014,120
4,1.1014,1.1021,1.1010,1.1019,130
5,1.1019,1.1025,1.1015,1.1022,140
6,1.1022,1.1028,1.1018,1.1026,150
7,1.1026,1.1032,1.1021,1.1030,155
8,1.1030,1.1034,1.1024,1.1032,160
9,1.1032,1.1038,1.1029,1.1035,170
10,1.1035,1.1040,1.1030,1.1037,175
11,1.1037,1.1044,1.1032,1.1040,180
12,1.1040,1.1046,1.1037,1.1043,182
13,1.1043,1.1049,1.1039,1.1045,185
14,1.1045,1.1052,1.1041,1.1048,190
15,1.1048,1.1054,1.1044,1.1050,195
16,1.1050,1.1057,1.1046,1.1053,197
17,1.1053,1.1059,1.1049,1.1055,200
18,1.1055,1.1061,1.1050,1.1058,205
19,1.1058,1.1065,1.1054,1.1061,210
20,1.1061,1.1068,1.1056,1.1064,220
21,1.1064,1.1070,1.1060,1.1066,225
22,1.1066,1.1072,1.1061,1.1069,230
23,1.1069,1.1075,1.1065,1.1071,232
24,1.1071,1.1077,1.1068,1.1074,235
25,1.1074,1.1080,1.1070,1.1077,240
