subject,chapter,total_weight
Physics,Kinematics,4
Physics,Newton Laws of Motion,5
Physics,Work Power Energy,4
Physics,Rotational Motion,5
Physics,Current Electricity,6
Physics,Modern Physics,7
Chemistry,Mole Concept,4
Chemistry,Thermodynamics,5
Chemistry,Chemical Bonding,6
Chemistry,Coordination Compounds,5
Chemistry,Organic GOC,7
Chemistry,Biomolecules,3
Mathematics,Quadratic Equations,4
Mathematics,Sequence and Series,4
Mathematics,Differential Calculus,7
Mathematics,Integral Calculus,7
Mathematics,Coordinate Geometry,6
Mathematics,Probability,5
